clave,slug,seccion_album,equipo,nombre,apodo,dorsal,posicion,minutos,partidos,titularidades,sustituido,goles,asistencias,amarillas,rojas,partidos_equipo,minutos_por_partido_equipo,cromo_id,cromos,consultado_en
levante-ud-86680,alberto-calatrava,LEVANTE UD,Levante UD,Alberto Calatrava,Calatrava,38,Centrocampista,0,0,0,0,0,0,0,0,5,0.0,,,2026-09-17
levante-ud-86993,axel-tape,LEVANTE UD,Levante UD,Axel Tape,Axel Tape,16,Centrocampista,0,0,0,0,0,0,0,0,5,0.0,,,2026-09-17
levante-ud-86677,ihor-galdin,LEVANTE UD,Levante UD,Ihor Galdin,Ihor Galdin,36,Portero,0,0,0,0,0,0,0,0,5,0.0,,,2026-09-17
levante-ud-84545,jorge-cabello,LEVANTE UD,Levante UD,Jorge Cabello,Cabello,14,Defensa,0,0,0,0,0,0,0,0,5,0.0,,,2026-09-17
levante-ud-86679,manel-usedo,LEVANTE UD,Levante UD,Manel Usedo,Manel Usedo,34,Centrocampista,0,0,0,0,0,0,0,0,5,0.0,,,2026-09-17
levante-ud-84540,pablo-cunat,LEVANTE UD,Levante UD,Pablo Campos,P. Campos,1,Portero,0,0,0,0,0,0,0,0,5,0.0,LEVANTE-UD-04,LEVANTE UD 4,2026-09-17
malaga-cf-84571,a-herrero,MALAGA CF,Málaga CF,Alfonso Herrero,A. Herrero,1,Portero,450,5,5,0,0,0,0,0,5,90.0,MALAGA-CF-03,MALAGA CF 3,2026-09-17
malaga-cf-84590,chupete,MALAGA CF,Málaga CF,Carlos Ruiz Rubio,Chupe,9,Delantero,450,5,5,0,1,0,1,0,5,90.0,MALAGA-CF-21,MALAGA CF 20,2026-09-17
malaga-cf-84581,angel-recio,MALAGA CF,Málaga CF,Ángel Recio,Recio,15,Defensa,450,5,5,0,0,0,0,0,5,90.0,,,2026-09-17
malaga-cf-84580,rafa-garrido,MALAGA CF,Málaga CF,Rafael Garrido Hierro,Rafita,31,Defensa,427,5,5,1,0,0,1,0,5,85.4,MALAGA-CF-09,MALAGA CF 9,2026-09-17
malaga-cf-84591,larrubia,MALAGA CF,Málaga CF,David Larrubia,D. Larrubia,10,Centrocampista,394,5,4,0,0,0,1,0,5,78.8,MALAGA-CF-17,MALAGA CF 16,2026-09-17
malaga-cf-84576,einar-galilea,MALAGA CF,Málaga CF,Einar Galilea,Einar,4,Defensa,379,5,5,3,0,0,1,0,5,75.8,MALAGA-CF-08,MALAGA CF 8,2026-09-17
malaga-cf-84586,izan-merino,MALAGA CF,Málaga CF,Izan Merino,Izan M.,23,Centrocampista,360,5,4,3,0,0,0,0,5,72.0,MALAGA-CF-11,MALAGA CF 11,2026-09-17
malaga-cf-86058,carlos-dotor,MALAGA CF,Málaga CF,Carlos Dotor,Dotor,8,Centrocampista,316,4,4,3,0,0,0,0,5,63.2,MALAGA-CF-15,MALAGA CF 14,2026-09-17
malaga-cf-84585,daniel-lorenzo,MALAGA CF,Málaga CF,Dani Lorenzo,Dani Lorenzo,22,Centrocampista,299,4,4,4,0,0,1,0,5,59.8,MALAGA-CF-12,MALAGA CF 12,2026-09-17
malaga-cf-84592,joaquin-1,MALAGA CF,Málaga CF,Joaquín Muñoz,Joaquín,11,Delantero,293,5,4,4,0,0,0,0,5,58.6,MALAGA-CF-20,MALAGA CF 19,2026-09-17
malaga-cf-84575,carlos-puga,MALAGA CF,Málaga CF,Carlos Puga,C. Puga,3,Defensa,268,5,3,2,0,0,2,0,5,53.6,MALAGA-CF-05,MALAGA CF 5,2026-09-17
malaga-cf-86078,salinas-1,MALAGA CF,Málaga CF,José Salinas,Salinas,12,Defensa,225,4,2,1,0,0,0,0,5,45.0,MALAGA-CF-10,MALAGA CF 10,2026-09-17
malaga-cf-85862,juan-cruz,MALAGA CF,Málaga CF,Juan Cruz,Cruz,19,Centrocampista,196,5,2,2,0,0,1,0,5,39.2,ULTIMOS-FICHAJES-11,ÚLTIMOS FICHAJES UF11,2026-09-17
malaga-cf-86809,p-martinez,MALAGA CF,Málaga CF,Pablo Martínez,Martínez,18,Centrocampista,194,3,2,1,0,1,1,0,5,38.8,,,2026-09-17
malaga-cf-84582,ramon-2,MALAGA CF,Málaga CF,Ramón Enríquez,Ramon,6,Centrocampista,86,5,0,0,0,0,2,0,5,17.2,,,2026-09-17
malaga-cf-84588,rafa-rodriguez,MALAGA CF,Málaga CF,Rafa Rodríguez,Rafa R.,14,Centrocampista,85,3,1,1,0,0,0,0,5,17.0,MALAGA-CF-13,MALAGA CF 13A,2026-09-17
malaga-cf-84589,haitam,MALAGA CF,Málaga CF,Haitam Abaida,Haitam,7,Delantero,33,2,0,0,0,0,0,0,5,6.6,,,2026-09-17
malaga-cf-84594,adrian-nino,MALAGA CF,Málaga CF,Adrián Niño,Niño,21,Delantero,23,1,0,0,1,0,0,0,5,4.6,MALAGA-CF-19,MALAGA CF 18,2026-09-17
malaga-cf-84593,eneko,MALAGA CF,Málaga CF,Eneko Jauregi,Jauregi,17,Delantero,10,1,0,0,0,0,0,0,5,2.0,,,2026-09-17
malaga-cf-84595,lobete,MALAGA CF,Málaga CF,Julen Lobete,Lobete,24,Delantero,5,1,0,0,0,0,0,0,5,1.0,MALAGA-CF-18,MALAGA CF 17,2026-09-17
malaga-cf-87170,jens-cajuste,MALAGA CF,Málaga CF,Jens Cajuste,Cajuste,2,Centrocampista,4,1,0,0,0,0,0,0,5,0.8,,,2026-09-17
malaga-cf-87051,j-berrocal,MALAGA CF,Málaga CF,Juan Berrocal,J. Berrocal,25,Defensa,3,1,0,0,0,0,0,0,5,0.6,,,2026-09-17
malaga-cf-87015,adam-aznou,MALAGA CF,Málaga CF,Adam Aznou,Aznou,39,Defensa,0,0,0,0,0,0,0,0,5,0.0,,,2026-09-17
malaga-cf-84572,carlos-lopez-2,MALAGA CF,Málaga CF,Carlos López,Carlos Lopez,13,Portero,0,0,0,0,0,0,0,0,5,0.0,MALAGA-CF-04,MALAGA CF 4,2026-09-17
malaga-cf-84577,diego-murillo,MALAGA CF,Málaga CF,Diego Murillo,Murillo,16,Defensa,0,0,0,0,0,0,0,0,5,0.0,MALAGA-CF-06,MALAGA CF 6,2026-09-17
malaga-cf-85749,calero,MALAGA CF,Málaga CF,Fernando Calero,F. Calero,20,Defensa,0,0,0,0,0,0,0,0,5,0.0,MALAGA-CF-07,MALAGA CF 7,2026-09-17
malaga-cf-86059,joseph-otunenche,MALAGA CF,Málaga CF,Joseph Otu,Otu Jr,28,Centrocampista,0,0,0,0,0,0,0,0,5,0.0,,,2026-09-17
malaga-cf-86060,juan-fernandez-2,MALAGA CF,Málaga CF,Juan Francisco Fernández Martin,Juani,32,Delantero,0,0,0,0,0,0,0,0,5,0.0,,,2026-09-17
malaga-cf-84574,alex-pastor,MALAGA CF,Málaga CF,Álex Pastor,Pastor,5,Defensa,0,0,0,0,0,0,0,0,5,0.0,,,2026-09-17
c-a-osasuna-84605,abel-bretones,OSASUNA,CA Osasuna,Abel Bretones,Abel Bretones,23,Centrocampista,495,6,5,0,0,0,2,0,6,82.5,OSASUNA-10,OSASUNA 9,2026-09-17
c-a-osasuna-84609,inigo-arguibide,OSASUNA,CA Osasuna,Iñigo Arguibide,Arguibide,27,Defensa,476,6,6,4,0,0,0,0,6,79.3,OSASUNA-06,OSASUNA 5B,2026-09-17
c-a-osasuna-84606,catena,OSASUNA,CA Osasuna,Alejandro Catena,Catena,24,Defensa,450,5,5,0,0,0,0,0,6,75.0,OSASUNA-09,OSASUNA 8,2026-09-17
c-a-osasuna-84598,s-herrera,OSASUNA,CA Osasuna,Sergio Herrera,S. Herrera,1,Portero,450,5,5,0,0,0,2,0,6,75.0,OSASUNA-03,OSASUNA 3,2026-09-17
c-a-osasuna-84612,moncayola,OSASUNA,CA Osasuna,Jon Moncayola,Moncayola,7,Centrocampista,424,6,5,1,0,0,1,0,6,70.7,OSASUNA-13,OSASUNA 12,2026-09-17
c-a-osasuna-84623,budimir,OSASUNA,CA Osasuna,Ante Budimir,Budimir,17,Delantero,412,6,4,1,4,0,0,0,6,68.7,OSASUNA-22,OSASUNA 20,2026-09-17
c-a-osasuna-84613,iker-munoz,OSASUNA,CA Osasuna,Iker Muñoz,Iker Muñoz,8,Centrocampista,386,5,4,1,0,0,1,0,6,64.3,OSASUNA-15,OSASUNA 13B,2026-09-17
c-a-osasuna-84620,raul-4,OSASUNA,CA Osasuna,Raúl García,Raúl,9,Delantero,340,6,4,3,0,1,1,0,6,56.7,OSASUNA-20,OSASUNA 18,2026-09-17
c-a-osasuna-84615,ruben-garcia,OSASUNA,CA Osasuna,Rubén García,Rubén García,14,Delantero,300,6,4,4,0,0,1,0,6,50.0,OSASUNA-16,OSASUNA 14,2026-09-17
c-a-osasuna-84622,moi-gomez,OSASUNA,CA Osasuna,Moi Gómez,Moi Gómez,16,Centrocampista,240,4,3,3,0,1,0,0,6,40.0,OSASUNA-14,OSASUNA 13A,2026-09-17
c-a-osasuna-86061,jonathan-dubasin,OSASUNA,CA Osasuna,Jonathan Dubasin,Dubasin,21,Centrocampista,232,6,2,2,0,0,1,0,6,38.7,,,2026-09-17
c-a-osasuna-86576,rockson-yeboah,OSASUNA,CA Osasuna,Rockson Yeboah,Rockson,48,Defensa,210,3,2,0,0,0,1,0,6,35.0,,,2026-09-17
c-a-osasuna-84611,torro,OSASUNA,CA Osasuna,Lucas Torró,Torró,6,Centrocampista,208,4,2,0,0,0,0,0,6,34.7,OSASUNA-12,OSASUNA 11,2026-09-17
c-a-osasuna-84604,boyomo,OSASUNA,CA Osasuna,Enzo Boyomo,Boyomo,22,Defensa,201,3,2,1,0,0,0,0,6,33.5,OSASUNA-07,OSASUNA 6,2026-09-17
c-a-osasuna-84618,asier-osambela,OSASUNA,CA Osasuna,Asier Osambela,A. Osambela,29,Centrocampista,200,4,2,1,0,0,0,0,6,33.3,OSASUNA-11,OSASUNA 10,2026-09-17
c-a-osasuna-84602,herrando,OSASUNA,CA Osasuna,Jorge Herrando,Herrando,5,Defensa,187,3,3,2,0,0,1,0,6,31.2,OSASUNA-08,OSASUNA 7,2026-09-17
c-a-osasuna-84621,kike-barja,OSASUNA,CA Osasuna,Kike Barja,Kike Barja,11,Delantero,181,5,2,2,1,0,3,0,6,30.2,OSASUNA-21,OSASUNA 19,2026-09-17
c-a-osasuna-84614,aimar-1,OSASUNA,CA Osasuna,Aimar Oroz,Aimar,10,Delantero,151,3,2,2,0,0,0,0,6,25.2,OSASUNA-17,OSASUNA 15,2026-09-17
c-a-osasuna-84624,raul-moro,OSASUNA,CA Osasuna,Raúl Moro,Moro,18,Centrocampista,137,4,1,1,0,0,0,0,6,22.8,OSASUNA-19,OSASUNA 17,2026-09-17
c-a-osasuna-84599,aitor-fdez,OSASUNA,CA Osasuna,Aitor Fernández,Aitor Fdez.,13,Portero,90,1,1,0,0,0,0,0,6,15.0,OSASUNA-04,OSASUNA 4,2026-09-17
c-a-osasuna-84608,unai-santos-1,OSASUNA,CA Osasuna,Unai Santos,Santos,35,Defensa,90,1,1,0,0,0,0,0,6,15.0,,,2026-09-17
c-a-osasuna-86560,rico,OSASUNA,CA Osasuna,Diego Rico,Rico,15,Defensa,45,1,1,1,0,0,0,0,6,7.5,,,2026-09-17
c-a-osasuna-87040,romain-del-castillo,OSASUNA,CA Osasuna,Romain Del Castillo,Del Castillo,20,Centrocampista,35,2,0,0,0,0,0,0,6,5.8,,,2026-09-17
c-a-osasuna-86916,asier-bonel-1,OSASUNA,CA Osasuna,Asier Bonel,A. Bonel,30,Delantero,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
c-a-osasuna-84616,mauro-echegoyen,OSASUNA,CA Osasuna,Mauro Echegoyen,Mauro,26,Centrocampista,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
c-a-osasuna-84601,rafa-fernandez,OSASUNA,CA Osasuna,Rafa Fernández,Rafa Fdez.,31,Portero,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
c-a-osasuna-84603,valentin-rosier,OSASUNA,CA Osasuna,Valentin Rosier,V. Rosier,19,Defensa,0,0,0,0,0,0,0,0,6,0.0,OSASUNA-05,OSASUNA 5A,2026-09-17
r-racing-club-86488,julen-agirrezabala,RACING DE SANTANDER,R. Racing Club,Julen Agirrezabala,Agirrezabala,13,Portero,540,6,6,0,0,0,0,0,6,90.0,,,2026-09-17
r-racing-club-84643,canales,RACING DE SANTANDER,R. Racing Club,Sergio Canales,Canales,20,Centrocampista,480,6,6,4,1,0,0,0,6,80.0,ULTIMOS-FICHAJES-01,ÚLTIMOS FICHAJES UF1,2026-09-17
r-racing-club-84656,i-vicente,RACING DE SANTANDER,R. Racing Club,Iñigo Vicente,Vicente,10,Delantero,454,6,5,2,0,2,1,0,6,75.7,RACING-DE-SANTANDER-20,RACING DE SANTANDER 18,2026-09-17
r-racing-club-84639,jorge-salinas,RACING DE SANTANDER,R. Racing Club,Jorge Salinas,Salinas,17,Defensa,454,6,5,0,0,1,2,0,6,75.7,RACING-DE-SANTANDER-11,RACING DE SANTANDER 10,2026-09-17
r-racing-club-84635,alvaro-mantilla,RACING DE SANTANDER,R. Racing Club,Álvaro Mantilla,Mantilla,2,Defensa,449,5,5,1,0,0,2,0,6,74.8,RACING-DE-SANTANDER-05,RACING DE SANTANDER 5,2026-09-17
r-racing-club-84637,m-hernando,RACING DE SANTANDER,R. Racing Club,José Manuel Hernando Riol,Manu H.,4,Defensa,397,5,4,2,0,0,1,0,6,66.2,RACING-DE-SANTANDER-09,RACING DE SANTANDER 9A,2026-09-17
r-racing-club-86803,ivan-martin,RACING DE SANTANDER,R. Racing Club,Iván Martín,Iván Martín,23,Centrocampista,315,4,3,0,0,0,0,0,6,52.5,,,2026-09-17
r-racing-club-86143,yassir-zabiri,RACING DE SANTANDER,R. Racing Club,Yassir Zabiri,Zabiri,21,Delantero,311,6,3,2,6,0,3,0,6,51.8,,,2026-09-17
r-racing-club-86348,pablo-ramon,RACING DE SANTANDER,R. Racing Club,Pablo Ramón,Pablo Ramón,5,Centrocampista,292,4,3,1,0,0,1,0,6,48.7,RACING-DE-SANTANDER-23,RACING DE SANTANDER 6BIS,2026-09-17
r-racing-club-86897,matteo-prati,RACING DE SANTANDER,R. Racing Club,Matteo Prati,Prati,18,Centrocampista,260,4,3,2,0,0,0,0,6,43.3,,,2026-09-17
r-racing-club-84634,facundo-gonzalez,RACING DE SANTANDER,R. Racing Club,Facu González,Facu,16,Defensa,246,5,3,2,0,0,1,0,6,41.0,RACING-DE-SANTANDER-07,RACING DE SANTANDER 7,2026-09-17
r-racing-club-84657,andres-2,RACING DE SANTANDER,R. Racing Club,Andrés Martín,Andrés,11,Delantero,239,3,3,1,1,0,0,0,6,39.8,RACING-DE-SANTANDER-18,RACING DE SANTANDER 16,2026-09-17
r-racing-club-84653,villalibre,RACING DE SANTANDER,R. Racing Club,Asier Villalibre,Villalibre,12,Delantero,219,5,3,3,0,1,0,0,6,36.5,RACING-DE-SANTANDER-22,RACING DE SANTANDER 20,2026-09-17
r-racing-club-87089,pablo-garcia-5,RACING DE SANTANDER,R. Racing Club,Pablo García,Pablo G.,15,Delantero,154,2,2,2,1,0,0,0,6,25.7,,,2026-09-17
r-racing-club-84647,maguette-gueye,RACING DE SANTANDER,R. Racing Club,Maguette Gueye,Maguette,14,Centrocampista,148,5,1,0,1,0,0,0,6,24.7,RACING-DE-SANTANDER-12,RACING DE SANTANDER 11A,2026-09-17
r-racing-club-87067,jeanuel-belocian,RACING DE SANTANDER,R. Racing Club,Jeanuël Belocian,Belocian,24,Defensa,125,2,1,0,0,0,0,0,6,20.8,,,2026-09-17
r-racing-club-87032,aaron-1,RACING DE SANTANDER,R. Racing Club,Aarón Martín,Aaron,3,Defensa,91,2,1,0,0,0,0,0,6,15.2,,,2026-09-17
r-racing-club-84644,inigo,RACING DE SANTANDER,R. Racing Club,Íñigo Sainz-Maza,Iñigo,6,Defensa,78,1,1,1,0,0,0,0,6,13.0,RACING-DE-SANTANDER-15,RACING DE SANTANDER 13,2026-09-17
r-racing-club-86322,pedro-felipe,RACING DE SANTANDER,R. Racing Club,Pedro Felipe de Jesus Gomes,Pedro,22,Defensa,76,3,2,2,0,0,1,0,6,12.7,,,2026-09-17
r-racing-club-84655,juan-carlos-arana,RACING DE SANTANDER,R. Racing Club,Juan Carlos Arana,Arana,9,Delantero,62,3,1,1,0,0,0,0,6,10.3,RACING-DE-SANTANDER-21,RACING DE SANTANDER 19,2026-09-17
r-racing-club-87078,andre-almeida-1,RACING DE SANTANDER,R. Racing Club,Domingos André Ribeiro Almeida,Almeida,8,Centrocampista,59,2,0,0,0,0,0,0,6,9.8,,,2026-09-17
r-racing-club-84654,giorgi-guliashvili,RACING DE SANTANDER,R. Racing Club,Giorgi Guliashvili,Guliashvili,7,Delantero,48,3,0,1,0,0,0,0,6,8.0,RACING-DE-SANTANDER-19,RACING DE SANTANDER 17,2026-09-17
r-racing-club-87033,iker-luque-1,RACING DE SANTANDER,R. Racing Club,Iker Luque,Iker Luque,19,Centrocampista,47,2,0,0,0,0,0,0,6,7.8,,,2026-09-17
r-racing-club-84652,andres-vallecillo,RACING DE SANTANDER,R. Racing Club,Andrés Vallecillo,Vallecillo,29,Centrocampista,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
r-racing-club-86729,hugo-perez-2,RACING DE SANTANDER,R. Racing Club,Hugo Pérez,Hugo,38,Centrocampista,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
r-racing-club-86674,jorge-castellanos,RACING DE SANTANDER,R. Racing Club,Jorge Castellanos,Castellanos,33,Centrocampista,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
r-racing-club-84631,simon-eriksson,RACING DE SANTANDER,R. Racing Club,Simon Eriksson,Eriksson,1,Portero,0,0,0,0,0,0,0,0,6,0.0,RACING-DE-SANTANDER-04,RACING DE SANTANDER 4,2026-09-17
rayo-vallecano-84674,lejeune,RAYO VALLECANO,Rayo Vallecano,Florian Lejeune,Lejeune,24,Defensa,540,6,6,0,0,0,1,0,6,90.0,RAYO-VALLECANO-08,RAYO VALLECANO 8,2026-09-17
rayo-vallecano-84679,pathe-ciss,RAYO VALLECANO,Rayo Vallecano,Pathé Ciss,Pathé I. Ciss,6,Centrocampista,540,6,6,0,0,0,3,0,6,90.0,RAYO-VALLECANO-12,RAYO VALLECANO 12,2026-09-17
rayo-vallecano-84682,unai-lopez,RAYO VALLECANO,Rayo Vallecano,Unai López,Unai Lopez,8,Centrocampista,469,6,6,4,0,3,2,0,6,78.2,RAYO-VALLECANO-14,RAYO VALLECANO 14,2026-09-17
rayo-vallecano-84669,andrei,RAYO VALLECANO,Rayo Vallecano,Andrei Ratiu,Andrei,2,Defensa,450,5,5,0,1,0,0,0,6,75.0,RAYO-VALLECANO-05,RAYO VALLECANO 5,2026-09-17
rayo-vallecano-84683,alvaro-1,RAYO VALLECANO,Rayo Vallecano,Álvaro García,Álvaro,18,Centrocampista,443,6,5,3,2,2,1,0,6,73.8,RAYO-VALLECANO-18,RAYO VALLECANO 18,2026-09-17
rayo-vallecano-84691,camello,RAYO VALLECANO,Rayo Vallecano,Sergio Camello,Camello,10,Delantero,399,6,5,4,6,1,2,0,6,66.5,RAYO-VALLECANO-19,RAYO VALLECANO 19,2026-09-17
rayo-vallecano-84685,oscar-5,RAYO VALLECANO,Rayo Vallecano,Óscar Valentín,Óscar V.,23,Centrocampista,312,6,3,2,0,0,1,0,6,52.0,RAYO-VALLECANO-13,RAYO VALLECANO 13,2026-09-17
rayo-vallecano-86943,pedrosa-1,RAYO VALLECANO,Rayo Vallecano,Adrià Pedrosa,Pedrosa,17,Defensa,308,4,3,2,1,0,1,0,6,51.3,,,2026-09-17
rayo-vallecano-84692,de-frutos-1,RAYO VALLECANO,Rayo Vallecano,Jorge de Frutos,De Frutos,19,Centrocampista,302,4,4,2,0,1,0,0,6,50.3,RAYO-VALLECANO-16,RAYO VALLECANO 16,2026-09-17
rayo-vallecano-84678,pedro-diaz,RAYO VALLECANO,Rayo Vallecano,Pedro Díaz,Pedro Díaz,4,Centrocampista,292,5,3,1,0,0,0,0,6,48.7,RAYO-VALLECANO-11,RAYO VALLECANO 11,2026-09-17
rayo-vallecano-84662,cardenas,RAYO VALLECANO,Rayo Vallecano,Dani Cárdenas,Cárdenas,1,Portero,210,3,2,0,0,0,0,0,6,35.0,RAYO-VALLECANO-04,RAYO VALLECANO 4,2026-09-17
rayo-vallecano-84673,balliu,RAYO VALLECANO,Rayo Vallecano,Iván Balliu,Balliu,20,Defensa,206,5,2,0,0,0,0,0,6,34.3,RAYO-VALLECANO-06,RAYO VALLECANO 6,2026-09-17
rayo-vallecano-86918,gnangoro,RAYO VALLECANO,Rayo Vallecano,Gnangoro Bouare Samake,G. Bouaré,36,Centrocampista,186,4,2,2,0,0,1,0,6,31.0,,,2026-09-17
rayo-vallecano-86580,heorhii-tsitaishvili,RAYO VALLECANO,Rayo Vallecano,Giorgi Tsitaishvili,G.tsitaishvili,14,Delantero,182,3,2,1,0,0,1,0,6,30.3,,,2026-09-17
rayo-vallecano-87172,emil-audero,RAYO VALLECANO,Rayo Vallecano,Emil Audero,Emil Audero,25,Portero,180,2,2,0,0,0,0,0,6,30.0,,,2026-09-17
rayo-vallecano-84681,nteka,RAYO VALLECANO,Rayo Vallecano,Randy Nteka,Nteka,11,Centrocampista,153,3,1,1,0,0,0,0,6,25.5,,,2026-09-17
rayo-vallecano-84663,augusto-batalla,RAYO VALLECANO,Rayo Vallecano,Augusto Batalla,A. Batalla,13,Portero,150,2,2,1,0,0,0,0,6,25.0,RAYO-VALLECANO-03,RAYO VALLECANO 3,2026-09-17
rayo-vallecano-84684,francisco-martinez-1,RAYO VALLECANO,Rayo Vallecano,Fran Pérez,Fran Pérez,21,Centrocampista,142,5,1,1,0,0,1,0,6,23.7,RAYO-VALLECANO-17,RAYO VALLECANO 17,2026-09-17
rayo-vallecano-84668,jozhua-vertrouwd,RAYO VALLECANO,Rayo Vallecano,Jozhua Vertrouwd,Jozhua V.,33,Defensa,122,2,2,1,0,0,0,0,6,20.3,,,2026-09-17
rayo-vallecano-84690,alemao-1,RAYO VALLECANO,Rayo Vallecano,Alexandre Zurawski,Alemâo,9,Delantero,102,5,0,0,0,0,1,0,6,17.0,RAYO-VALLECANO-20,RAYO VALLECANO 20,2026-09-17
rayo-vallecano-84680,isi-2,RAYO VALLECANO,Rayo Vallecano,Isi Palazón,Isi,7,Centrocampista,81,2,2,2,0,0,0,0,6,13.5,RAYO-VALLECANO-15,RAYO VALLECANO 15,2026-09-17
rayo-vallecano-87090,mujaid,RAYO VALLECANO,Rayo Vallecano,Mujaid Sadick,Mujaid,15,Defensa,76,2,1,1,0,0,0,0,6,12.7,,,2026-09-17
rayo-vallecano-84677,pelayo-fernandez,RAYO VALLECANO,Rayo Vallecano,Pelayo Fernández,Pelayo,22,Defensa,67,2,1,1,0,0,0,0,6,11.2,,,2026-09-17
rayo-vallecano-87186,rayane-belaid,RAYO VALLECANO,Rayo Vallecano,Rayane Belaid,Rayane,37,Delantero,23,1,0,0,0,0,0,0,6,3.8,,,2026-09-17
rayo-vallecano-84666,adrian-molina,RAYO VALLECANO,Rayo Vallecano,Adrián Molina,Adrián Molina,30,Portero,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
rayo-vallecano-86662,ivan-alonso-1,RAYO VALLECANO,Rayo Vallecano,Iván Alonso,Alonso,34,Delantero,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
rayo-vallecano-84671,luiz-felipe,RAYO VALLECANO,Rayo Vallecano,Luiz Felipe Ramos Marchi,Luiz Felipe,5,Defensa,0,0,0,0,0,0,0,0,6,0.0,RAYO-VALLECANO-09,RAYO VALLECANO 9,2026-09-17
rayo-vallecano-86435,marash-kumbulla,RAYO VALLECANO,Rayo Vallecano,Marash Kumbulla,Kumbulla,3,Centrocampista,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
rayo-vallecano-84688,marco-roman,RAYO VALLECANO,Rayo Vallecano,Marco Román,M. Román,31,Centrocampista,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
rayo-vallecano-84675,marco-de-las-sias,RAYO VALLECANO,Rayo Vallecano,Marco de Las Sias,De Las Sias,26,Defensa,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
rayo-vallecano-84689,r-d-t,RAYO VALLECANO,Rayo Vallecano,Raúl de Tomás,Rdt,,Delantero,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
rayo-vallecano-84676,sergio-lozano,RAYO VALLECANO,Rayo Vallecano,Sergio Lozano,Lozano,27,Defensa,0,0,0,0,0,0,0,0,6,0.0,,,2026-09-17
rc-celta-84344,ionut-radu,RC CELTA DE VIGO,Celta,Ionut Radu,Radu,13,Portero,540,6,6,0,0,0,1,0,6,90.0,RC-CELTA-DE-VIGO-03,RC CELTA DE VIGO 3,2026-09-17
rc-celta-84364,miguel-roman,RC CELTA DE VIGO,Celta,Miguel Román,M. Román,8,Centrocampista,495,6,5,0,0,1,0,0,6,82.5,RC-CELTA-DE-VIGO-13,RC CELTA DE VIGO 12,2026-09-17
rc-celta-84356,yoel-lago,RC CELTA DE VIGO,Celta,Yoel Lago,Yoel Lago,18,Defensa,495,6,5,0,0,0,2,0,6,82.5,RC-CELTA-DE-VIGO-10,RC CELTA DE VIGO 9B,2026-09-17
rc-celta-84354,marcos-alonso,RC CELTA DE VIGO,Celta,Marcos Alonso,M. Alonso,3,Defensa,411,5,5,0,0,0,2,0,6,68.5,RC-CELTA-DE-VIGO-09,RC CELTA DE VIGO 9A,2026-09-17
rc-celta-84350,s-carreira,RC CELTA DE VIGO,Celta,Sergio Carreira,Carreira,5,Defensa,411,6,4,0,0,0,1,0,6,68.5,RC-CELTA-DE-VIGO-11,RC CELTA DE VIGO 10,2026-09-17
rc-celta-84360,ilaix,RC CELTA DE VIGO,Celta,Moriba Kourouma Kourouma,Moriba,6,Centrocampista,402,6,5,2,0,0,0,0,6,67.0,RC-CELTA-DE-VIGO-12,RC CELTA DE VIGO 11,2026-09-17
rc-celta-84353,javier-rueda,RC CELTA DE VIGO,Celta,Javi Rueda,Javi Rueda,17,Defensa,331,6,3,3,0,0,1,0,6,55.2,RC-CELTA-DE-VIGO-06,RC CELTA DE VIGO 6,2026-09-17
rc-celta-84372,ferran-1,RC CELTA DE VIGO,Celta,Ferran Jutglà,Jutgla,9,Delantero,325,6,4,3,1,0,0,0,6,54.2,RC-CELTA-DE-VIGO-21,RC CELTA DE VIGO 19,2026-09-17
rc-celta-84365,williot-swedberg,RC CELTA DE VIGO,Celta,Williot Swedberg,Williot,19,Centrocampista,246,5,3,3,0,0,0,0,6,41.0,RC-CELTA-DE-VIGO-17,RC CELTA DE VIGO 16,2026-09-17
rc-celta-84358,javier-rodriguez-1,RC CELTA DE VIGO,Celta,Javi Rodríguez,Javi Rguez,20,Defensa,231,4,3,1,0,0,0,0,6,38.5,RC-CELTA-DE-VIGO-07,RC CELTA DE VIGO 7,2026-09-17
rc-celta-84373,iago-aspas,RC CELTA DE VIGO,Celta,Iago Aspas,Iago Aspas,10,Delantero,220,6,2,2,1,0,0,0,6,36.7,RC-CELTA-DE-VIGO-18,RC CELTA DE VIGO 17,2026-09-17
rc-celta-84349,carl-starfelt,RC CELTA DE VIGO,Celta,Carl Starfelt,Starfelt,2,Defensa,218,3,2,0,1,0,1,0,6,36.3,RC-CELTA-DE-VIGO-08,RC CELTA DE VIGO 8,2026-09-17
rc-celta-84347,javi-galan,RC CELTA DE VIGO,Celta,Javi Galán,Javi Galán,22,Centrocampista,205,5,3,3,0,0,0,0,6,34.2,,,2026-09-17
