club,jugador,jugador_normalizado,dorsal,posicion,foto_url
RC Deportivo A Coruña,Leo Román,leo roman,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/562742-1745395600.jpg
RC Deportivo A Coruña,Álvaro Ferllo,alvaro ferllo,25,Portero,https://img.a.transfermarkt.technology/portrait/medium/453704-1694431085.jpg
RC Deportivo A Coruña,Germán Parreño,german parreno,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/126746-1447228190.jpg
RC Deportivo A Coruña,Eric Puerto,eric puerto,-,Portero,https://img.a.transfermarkt.technology/portrait/medium/786130-1700588718.jpg
RC Deportivo A Coruña,Lucas Noubi,lucas noubi,4,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/743379-1663871275.jpg
RC Deportivo A Coruña,Dani Barcia,dani barcia,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/857949-1702404739.jpg
RC Deportivo A Coruña,Bright Ede,bright ede,22,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/1177033-1752826490.JPG
RC Deportivo A Coruña,Arnau Comas,arnau comas,3,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/388542-1588012945.jpg
RC Deportivo A Coruña,Angeliño,angelino,24,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/277179-1706626191.jpg
RC Deportivo A Coruña,Giacomo Quagliata,giacomo quagliata,12,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/458777-1658899170.jpg
RC Deportivo A Coruña,Adrià Altimira,adria altimira,2,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/466807-1761075979.jpg
RC Deportivo A Coruña,Miguel Loureiro,miguel loureiro,15,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/400104-1694422710.jpg
RC Deportivo A Coruña,Ximo Navarro,ximo navarro,23,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/184767-1647530854.jpg
RC Deportivo A Coruña,Lorenzo Amatucci,lorenzo amatucci,16,Pivote,https://img.a.transfermarkt.technology/portrait/medium/707450-1751270499.jpg
RC Deportivo A Coruña,Riki Rodríguez,riki rodriguez,14,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/596899-1745337795.jpg
RC Deportivo A Coruña,Diego Villares,diego villares,8,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/590687-1702404812.jpg
RC Deportivo A Coruña,Noé Carrillo,noe carrillo,37,Mediocentro,
RC Deportivo A Coruña,Teun Gijselhart,teun gijselhart,34,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/738477-1724750611.jpg
RC Deportivo A Coruña,Charlie Patiño,charlie patino,6,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/581674-1683023729.jpg
RC Deportivo A Coruña,José Ángel Jurado,jose angel jurado,20,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/187673-1702407781.jpg
RC Deportivo A Coruña,Mario Soriano,mario soriano,21,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/568148-1724424505.jpg
RC Deportivo A Coruña,Jonathan Asp Jensen,jonathan asp jensen,18,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/856274-1739807845.jpg
RC Deportivo A Coruña,Yeremay Hernández,yeremay hernandez,10,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/636385-1762939146.jpg
RC Deportivo A Coruña,David Mella,david mella,11,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/741256-1733934484.jpg
RC Deportivo A Coruña,Luismi Cruz,luismi cruz,19,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/610461-1647594517.jpg
RC Deportivo A Coruña,Bil Nsongo,bil nsongo,31,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/1299392-1779655212.jpg
RC Deportivo A Coruña,Pierre-Emerick Aubameyang,pierre emerick aubameyang,7,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/58864-1762262625.jpg
RC Deportivo A Coruña,Zakaria Eddahchouri,zakaria eddahchouri,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/519651-1599332479.jpg
RC Deportivo A Coruña,Kevin Sánchez,kevin sanchez,-,Delantero centro,
Real Betis Balompié,Álvaro Valles,alvaro valles,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/417913-1773343747.jpg
Real Betis Balompié,Diego Conde,diego conde,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/341713-1669364743.jpg
Real Betis Balompié,Natan,natan,4,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/735568-1708553167.jpg
Real Betis Balompié,Valentín Gómez,valentin gomez,16,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/985383-1758783099.jpg
Real Betis Balompié,Diego Llorente,diego llorente,3,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/246291-1675246130.jpg
Real Betis Balompié,Marc Bartra,marc bartra,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/99922-1724053472.jpg
Real Betis Balompié,Fran García,fran garcia,11,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/341264-1688119965.jpg
Real Betis Balompié,Junior Firpo,junior firpo,23,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/374139-1724939835.jpg
Real Betis Balompié,Ángel Ortiz,angel ortiz,12,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/933908-1758782759.jpg
Real Betis Balompié,Héctor Bellerín,hector bellerin,2,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/191217-1773344002.jpg
Real Betis Balompié,Facundo Bernal,facundo bernal,6,Pivote,https://img.a.transfermarkt.technology/portrait/medium/898350-1721081696.jpg
Real Betis Balompié,Marc Roca,marc roca,21,Pivote,https://img.a.transfermarkt.technology/portrait/medium/336869-1773344159.jpg
Real Betis Balompié,Nelson Deossa,nelson deossa,18,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/907559-1693600752.JPG
Real Betis Balompié,Pablo Fornals,pablo fornals,8,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/357885-1773344365.jpg
Real Betis Balompié,Álvaro Fidalgo,alvaro fidalgo,15,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/261503-1773343851.jpg
Real Betis Balompié,Giovani Lo Celso,giovani lo celso,20,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/348795-1726734706.jpg
Real Betis Balompié,Isco,isco,22,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/85288-1744375744.jpg
Real Betis Balompié,Abde Ezzalzouli,abde ezzalzouli,10,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/724520-1758782814.jpg
Real Betis Balompié,Rodrigo Riquelme,rodrigo riquelme,17,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/461617-1701212385.jpg
Real Betis Balompié,Antony,antony,7,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/602105-1758783018.jpg
Real Betis Balompié,Pablo García,pablo garcia,52,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/961087-1750059859.jpg
Real Betis Balompié,Aitor Ruibal,aitor ruibal,24,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/378139-1773344244.jpg
Real Betis Balompié,Iker Losada,iker losada,14,Mediapunta,https://img.a.transfermarkt.technology/portrait/medium/632741-1569337955.jpg
Real Betis Balompié,Troy Parrott,troy parrott,19,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/552655-1721657549.jpg
Real Betis Balompié,Cucho Hernández,cucho hernandez,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/459463-1773344529.jpg
Real Betis Balompié,Gonzalo Petit,gonzalo petit,-,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/997814-1719947885.png
Real Racing Club,Julen Agirrezabala,julen agirrezabala,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/625014-1709674945.png
Real Racing Club,Simon Eriksson,simon eriksson,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/1088712-1757615371.jpg
Real Racing Club,Facundo González,facundo gonzalez,16,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/825199-1729850176.jpg
Real Racing Club,Pedro Felipe,pedro felipe,22,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/1082581-1670983210.jpeg
Real Racing Club,Manu Hernando,manu hernando,4,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/396161-1724514640.jpeg
Real Racing Club,Pablo Ramón,pablo ramon,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/629511-1712568179.jpg
Real Racing Club,Jorge Salinas,jorge salinas,17,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/1262996-1783511110.jpg
Real Racing Club,Álvaro Mantilla,alvaro mantilla,2,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/636116-1652953291.jpg
Real Racing Club,Maguette Gueye,maguette gueye,14,Pivote,https://img.a.transfermarkt.technology/portrait/medium/933795-1779005844.jpg
Real Racing Club,Gustavo Puerta,gustavo puerta,8,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/936981-1695368256.jpg
Real Racing Club,Iván Martín,ivan martin,23,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/341278-1703177977.jpg
Real Racing Club,Sergio Martínez,sergio martinez,36,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/1393961-1764753165.jpg
Real Racing Club,Íñigo Sainz-Maza,inigo sainz maza,6,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/522730-1652944518.jpg
Real Racing Club,Sergio Canales,sergio canales,20,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/66106-1653039158.jpg
Real Racing Club,Iñigo Vicente,inigo vicente,10,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/335216-1711381338.jpg
Real Racing Club,Andrés Martín,andres martin,11,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/531277-1744710284.jpg
Real Racing Club,Yassir Zabiri,yassir zabiri,21,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/1153105-1759431831.jpg
Real Racing Club,Giorgi Guliashvili,giorgi guliashvili,7,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/502682-1759082949.jpg
Real Racing Club,Asier Villalibre,asier villalibre,12,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/251897-1709676417.png
Real Racing Club,Juan Carlos Arana,juan carlos arana,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/461631-1767022242.jpg
RCD Espanyol,Marko Dmitrovic,marko dmitrovic,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/94308-1669364494.jpg
RCD Espanyol,Ángel Fortuño,angel fortuno,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/628487-1747339466.jpg
RCD Espanyol,Vanja Drkusic,vanja drkusic,16,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/371856-1784994497.png
RCD Espanyol,Clemens Riedel,clemens riedel,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/692070-1752059844.jpg
RCD Espanyol,Unai Núñez,unai nunez,14,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/338285-1753679771.jpg
RCD Espanyol,Leandro Cabrera,leandro cabrera,6,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/102423-1747343579.jpg
RCD Espanyol,Quilindschy Hartman,quilindschy hartman,3,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/514285-1723820103.jpg
RCD Espanyol,Roger Hinojo,roger hinojo,21,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/1204959-1761231615.jpg
RCD Espanyol,Omar El Hilali,omar el hilali,23,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/822331-1683211692.jpg
RCD Espanyol,Rubén Sánchez,ruben sanchez,2,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/705813-1661765132.jpg
RCD Espanyol,Urko González de Zárate,urko gonzalez de zarate,4,Pivote,https://img.a.transfermarkt.technology/portrait/medium/625651-1694171507.jpg
RCD Espanyol,Gabriel Moscardo,gabriel moscardo,20,Pivote,https://img.a.transfermarkt.technology/portrait/medium/1086636-1724752763.png
RCD Espanyol,Pol Lozano,pol lozano,10,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/412045-1568028635.jpg
RCD Espanyol,Edu Expósito,edu exposito,8,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/506248-1747385472.jpg
RCD Espanyol,Rafel Bauzà,rafel bauza,26,Mediocentro,
RCD Espanyol,Álex Calatrava,alex calatrava,22,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/633111-1726738145.jpg
RCD Espanyol,Javi Hernández,javi hernandez,28,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/946279-1725656260.png
RCD Espanyol,Javi Puado,javi puado,7,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/408471-1698158226.jpg
RCD Espanyol,Pere Milla,pere milla,11,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/225593-1541151194.jpg
RCD Espanyol,Tyrhys Dolan,tyrhys dolan,24,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/647435-1679678061.jpg
RCD Espanyol,Jofre Carreras,jofre carreras,17,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/628498-1747385604.jpg
RCD Espanyol,Roberto Fernández,roberto fernandez,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/720518-1732827310.jpg
RCD Espanyol,Marcos Fernández,marcos fernandez,18,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/961948-1782514405.jpg
RCD Espanyol,Kike García,kike garcia,19,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/93936-1490620015.jpg
CA Osasuna,Sergio Herrera,sergio herrera,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/248738-1732220099.jpg
CA Osasuna,Aitor Fernández,aitor fernandez,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/118997-1683281584.jpg
CA Osasuna,Enzo Boyomo,enzo boyomo,22,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/541555-1728038860.jpg
CA Osasuna,Jorge Herrando,jorge herrando,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/555500-1732219992.jpg
CA Osasuna,Alejandro Catena,alejandro catena,24,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/449796-1732220159.jpg
CA Osasuna,Rockson Yeboah,rockson yeboah,-,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/1149188-1783519538.jpg
CA Osasuna,Abel Bretones,abel bretones,23,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/658115-1690301272.jpg
CA Osasuna,Diego Rico,diego rico,15,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/249513-1697221474.jpg
CA Osasuna,Valentin Rosier,valentin rosier,19,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/441170-1666619891.png
CA Osasuna,Iñigo Arguibide,inigo arguibide,41,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/1065442-1700857321.png
CA Osasuna,Lucas Torró,lucas torro,6,Pivote,https://img.a.transfermarkt.technology/portrait/medium/213670-1732219931.jpg
CA Osasuna,Iker Muñoz,iker munoz,8,Pivote,https://img.a.transfermarkt.technology/portrait/medium/710677-1697557434.jpg
CA Osasuna,Jon Moncayola,jon moncayola,7,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/552425-1583310847.jpg
CA Osasuna,Asier Osambela,asier osambela,29,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/1038512-1700857716.png
CA Osasuna,Aimar Oroz,aimar oroz,10,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/634131-1732220023.jpg
CA Osasuna,Moi Gómez,moi gomez,16,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/175449-1664970613.jpg
CA Osasuna,Raúl Moro,raul moro,15,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/624942-1750837010.jpg
CA Osasuna,Jonathan Dubasin,jonathan dubasin,21,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/628621-1760543752.jpg
CA Osasuna,Rubén García,ruben garcia,14,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/213260-1583310204.jpg
CA Osasuna,Kike Barja,kike barja,11,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/298575-1583310743.jpg
CA Osasuna,Raúl García,raul garcia,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/631002-1614090749.jpg
CA Osasuna,Ante Budimir,ante budimir,17,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/46413-1732219707.jpg
Villarreal CF,Luiz Júnior,luiz junior,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/712107-1758058969.jpg
Villarreal CF,Péter Gulácsi,peter gulacsi,25,Portero,https://img.a.transfermarkt.technology/portrait/medium/57071-1719214600.jpg
Villarreal CF,Rubén Gómez,ruben gomez,13,Portero,
Villarreal CF,Renato Veiga,renato veiga,12,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/805714-1749414999.jpg
Villarreal CF,Logan Costa,logan costa,2,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/484988-1708555203.jpg
Villarreal CF,Pau Navarro,pau navarro,6,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/1061336-1734596703.jpg
Villarreal CF,Juan Foyth,juan foyth,8,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/480763-1662668281.jpg
Villarreal CF,Willy Kambwala,willy kambwala,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/780630-1743688107.jpg
Villarreal CF,Carlos Romero,carlos romero,20,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/709372-1747385379.jpg
Villarreal CF,Sergi Cardona,sergi cardona,23,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/678406-1697540707.jpg
Villarreal CF,Santiago Mouriño,santiago mourino,15,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/953901-1691396102.jpg
Villarreal CF,Alex Freeman,alex freeman,3,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/985806-1740780278.jpg
Villarreal CF,Pape Gueye,pape gueye,18,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/485963-1768814767.jpg
Villarreal CF,Santi Comesaña,santi comesana,14,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/380598-1726231263.jpg
Villarreal CF,Carlos Macià,carlos macia,26,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/1453066-1768693924.png
Villarreal CF,Alassane Diatta,alassane diatta,4,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/1249340-1769694931.jpg
Villarreal CF,Alberto Moleiro,alberto moleiro,10,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/733576-1737365948.jpg
Villarreal CF,Ilias Akhomach,ilias akhomach,11,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/709969-1636472170.jpg
Villarreal CF,Tajon Buchanan,tajon buchanan,17,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/638793-1758059596.jpg
Villarreal CF,Nicolas Pépé,nicolas pepe,19,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/343052-1758059244.jpg
Villarreal CF,Georges Mikautadze,georges mikautadze,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/729814-1719222514.jpg
Villarreal CF,Tani Oluwaseyi,tani oluwaseyi,21,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/972465-1758059359.jpg
Villarreal CF,Ayoze Pérez,ayoze perez,22,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/246968-1716803546.jpg
Villarreal CF,Gerard Moreno,gerard moreno,7,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/177467-1726231623.jpg
Real Sociedad,Álex Remiro,alex remiro,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/212862-1694594210.jpg
Real Sociedad,Unai Marrero,unai marrero,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/625657-1692370133.jpg
Real Sociedad,Jon Martín,jon martin,31,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/1018938-1780664220.jpg
Real Sociedad,Igor Zubeldia,igor zubeldia,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/355628-1664974849.jpg
Real Sociedad,Jon Pacheco,jon pacheco,16,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/580560-1631178086.jpg
Real Sociedad,Sergio Gómez,sergio gomez,17,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/366930-1727678534.jpg
Real Sociedad,Aihen Muñoz,aihen munoz,3,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/517842-1699007158.jpg
Real Sociedad,Jon Aramburu,jon aramburu,2,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/661145-1719915615.jpg
Real Sociedad,Álvaro Odriozola,alvaro odriozola,20,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/280730-1579598607.jpg
Real Sociedad,Jon Gorrotxategi,jon gorrotxategi,4,Pivote,https://img.a.transfermarkt.technology/portrait/medium/711374-1727113195.jpg
Real Sociedad,Beñat Turrientes,benat turrientes,8,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/634431-1702416501.jpg
Real Sociedad,Luka Sucic,luka sucic,24,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/502722-1692998699.png
Real Sociedad,Carlos Soler,carlos soler,18,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/372246-1759159072.jpg
Real Sociedad,Yangel Herrera,yangel herrera,21,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/378293-1719230693.jpg
Real Sociedad,Arsen Zakharyan,arsen zakharyan,23,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/555143-1683292149.jpg
Real Sociedad,Pablo Marín,pablo marin,15,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/907813-1683212131.jpg
Real Sociedad,Mikel Goti,mikel goti,22,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/709215-1732795497.png
Real Sociedad,Ander Barrenetxea,ander barrenetxea,7,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/616369-1699472801.jpg
Real Sociedad,Gonçalo Guedes,goncalo guedes,11,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/225122-1701334424.jpg
Real Sociedad,Takefusa Kubo,takefusa kubo,14,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/405398-1697110254.jpg
Real Sociedad,Job Ochieng,job ochieng,12,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/1105810-1732795774.png
Real Sociedad,Mikel Oyarzabal,mikel oyarzabal,10,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/351478-1749415304.jpg
Real Sociedad,Orri Óskarsson,orri oskarsson,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/660438-1692090952.jpg
Real Sociedad,Jon Karrikaburu,jon karrikaburu,19,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/711382-1692368413.jpg
Sevilla FC,Odysseas Vlachodimos,odysseas vlachodimos,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/124419-1706829687.jpg
Sevilla FC,Fran González,fran gonzalez,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/1055220-1704358404.jpg
Sevilla FC,Kike Salas,kike salas,4,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/766583-1736865960.jpg
Sevilla FC,Arouna Sangante,arouna sangante,12,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/768380-1738244271.jpg
Sevilla FC,Andrés Castrín,andres castrin,5,Defensa central,
Sevilla FC,Marcão,marcao,23,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/439022-1681476532.jpg
Sevilla FC,Fábio Cardoso,fabio cardoso,15,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/155025-1736318779.JPG
Sevilla FC,Gabriel Suazo,gabriel suazo,17,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/385105-1752224979.jpg
Sevilla FC,Adrià Pedrosa,adria pedrosa,-,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/501418-1583506190.jpg
Sevilla FC,Julio Díaz,julio diaz,3,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/945753-1731932642.jpg
Sevilla FC,José Ángel Carmona,jose angel carmona,22,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/711625-1696862897.jpg
Sevilla FC,Juan Iglesias,juan iglesias,2,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/390688-1632295269.jpg
Sevilla FC,Lucien Agoumé,lucien agoume,6,Pivote,https://img.a.transfermarkt.technology/portrait/medium/569384-1656577561.jpg
Sevilla FC,Giorgi Kochorashvili,giorgi kochorashvili,8,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/405564-1759133137.jpg
Sevilla FC,Jon Guridi,jon guridi,18,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/289257-1604301765.jpg
Sevilla FC,Manu Bueno,manu bueno,28,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/766723-1702412015.jpg
Sevilla FC,Nico Guillén,nico guillen,27,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/1236856-1771593050.jpg
Sevilla FC,Rubén Vargas,ruben vargas,11,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/345886-1779793578.jpg
Sevilla FC,Oso,oso,19,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/1032280-1774905283.jpg
Sevilla FC,Chidera Ejuke,chidera ejuke,21,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/500067-1706264992.jpg
Sevilla FC,Alfon González,alfon gonzalez,7,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/357628-1734950388.jpg
Sevilla FC,Miguel Sierra,miguel sierra,30,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/1064105-1700522312.png
Sevilla FC,Peque Fernández,peque fernandez,10,Mediapunta,https://img.a.transfermarkt.technology/portrait/medium/639733-1615192753.jpg
Sevilla FC,Robbie Ure,robbie ure,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/783373-1696835614.jpg
Sevilla FC,Isaac Romero,isaac romero,16,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/687609-1762342231.jpg
Deportivo Alavés,Antonio Sivera,antonio sivera,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/298197-1713856039.jpg
Deportivo Alavés,Jesús Owono,jesus owono,-,Portero,https://img.a.transfermarkt.technology/portrait/medium/631693-1767009098.jpg
Deportivo Alavés,Adrián Rodríguez,adrian rodriguez,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/608382-1779142396.jpg
Deportivo Alavés,Nicolás Valentini,nicolas valentini,2,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/860992-1711028718.jpg
Deportivo Alavés,Ville Koski,ville koski,16,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/581326-1768659999.jpg
Deportivo Alavés,Facundo Garcés,facundo garces,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/533354-1633539030.JPG
Deportivo Alavés,Youssef Enríquez,youssef enriquez,3,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/741289-1733863618.jpg
Deportivo Alavés,Nahuel Tenaglia,nahuel tenaglia,14,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/533568-1647530141.jpg
Deportivo Alavés,Jonny Otto,jonny otto,17,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/175446-1727967204.png
