club,jugador,jugador_normalizado,dorsal,posicion,foto_url
Real Madrid CF,Antonio Rüdiger,antonio rudiger,22,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/86202-1684484602.jpg
Real Madrid CF,Marc Cucurella,marc cucurella,17,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/284857-1765185117.jpg
Real Madrid CF,Álvaro Carreras,alvaro carreras,18,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/811778-1737497415.jpg
Real Madrid CF,Ferland Mendy,ferland mendy,23,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/291417-1701294025.jpg
Real Madrid CF,Trent Alexander-Arnold,trent alexander arnold,12,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/314353-1701680958.jpg
Real Madrid CF,Denzel Dumfries,denzel dumfries,24,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/321528-1746042223.jpg
Real Madrid CF,Aurélien Tchouaméni,aurelien tchouameni,14,Pivote,https://img.a.transfermarkt.technology/portrait/medium/413112-1668500754.jpg
Real Madrid CF,Federico Valverde,federico valverde,8,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/369081-1731018042.jpg
Real Madrid CF,Eduardo Camavinga,eduardo camavinga,6,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/640428-1668500874.jpg
Real Madrid CF,Thiago Pitarch,thiago pitarch,27,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/1375227-1755633821.jpg
Real Madrid CF,Jorge Cestero,jorge cestero,29,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/1186235-1759738619.jpg
Real Madrid CF,Jude Bellingham,jude bellingham,5,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/581678-1748102891.jpg
Real Madrid CF,Arda Güler,arda guler,15,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/861410-1699472585.jpg
Real Madrid CF,Bernardo Silva,bernardo silva,20,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/241641-1684311533.jpg
Real Madrid CF,Vinicius Junior,vinicius junior,7,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/371998-1761575144.jpg
Real Madrid CF,Yan Diomande,yan diomande,25,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/1390649-1759779499.jpg
Real Madrid CF,Rodrygo,rodrygo,11,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/412363-1763041611.jpg
Real Madrid CF,Brahim Díaz,brahim diaz,21,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/314678-1744193327.jpg
Real Madrid CF,Kylian Mbappé,kylian mbappe,10,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/342229-1682683695.jpg
Real Madrid CF,Endrick,endrick,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/971570-1782847902.jpg
Real Madrid CF,Carlos Espí,carlos espi,19,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/1063338-1759409131.jpg
Athletic Club,Unai Simón,unai simon,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/262396-1709674901.png
Athletic Club,Álex Padilla,alex padilla,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/834483-1709676711.png
Athletic Club,Dani Vivian,dani vivian,3,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/524000-1709674998.png
Athletic Club,Aymeric Laporte,aymeric laporte,14,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/176553-1685546335.jpg
Athletic Club,Aitor Paredes,aitor paredes,4,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/591916-1709675052.png
Athletic Club,Yeray Álvarez,yeray alvarez,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/255488-1709675129.png
Athletic Club,Unai Egiluz,unai egiluz,-,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/834485-1709676798.png
Athletic Club,Adama Boiro,adama boiro,19,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/710671-1709677000.png
Athletic Club,Yuri Berchiche,yuri berchiche,17,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/61812-1709675167.png
Athletic Club,Jesús Areso,jesus areso,12,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/488626-1675800186.jpg
Athletic Club,Hugo Rincón,hugo rincon,15,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/834487-1709677097.png
Athletic Club,Andoni Gorosabel,andoni gorosabel,2,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/289255-1739190147.jpeg
Athletic Club,Mikel Jauregizar,mikel jauregizar,18,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/938729-1709675994.png
Athletic Club,Beñat Prados,benat prados,6,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/625047-1709675858.png
Athletic Club,Alejandro Rego,alejandro rego,20,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/834491-1709677367.png
Athletic Club,Selton Sánchez,selton sanchez,44,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/1312698-1731353776.png
Athletic Club,Iñigo Ruiz de Galarreta,inigo ruiz de galarreta,16,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/126751-1709675810.png
Athletic Club,Unai Vencedor,unai vencedor,-,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/610083-1671998817.png
Athletic Club,Beñat Gerenabarrena,benat gerenabarrena,24,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/709214-1709677208.png
Athletic Club,Oihan Sancet,oihan sancet,8,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/571020-1709676037.png
Athletic Club,Peio Canales,peio canales,28,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/1056966-1709678026.png
Athletic Club,Nico Williams,nico williams,10,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/709187-1709676169.png
Athletic Club,Álex Berenguer,alex berenguer,7,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/338425-1709676212.png
Athletic Club,Álvaro Djaló,alvaro djalo,25,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/671649-1762259842.jpg
Athletic Club,Nico Serrano,nico serrano,22,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/668183-1731352737.png
Athletic Club,Iñaki Williams,inaki williams,9,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/255508-1709676323.png
Athletic Club,Robert Navarro,robert navarro,23,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/563137-1567246327.jpg
Athletic Club,Gorka Guruzeta,gorka guruzeta,11,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/340205-1709676375.png
Athletic Club,Maroan Sannadi,maroan sannadi,21,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/1054934-1736857054.jpg
