clave,squad_id,team_slug,seccion_album,equipo,dorsal,posicion,posicion_slug,rol,rol_slug,nombre,apodo,nombre_pila,apellidos,fecha_nacimiento,lugar_nacimiento,pais,altura_cm,peso_kg,internacional,activo,cedido,cedido_fuera,foto_url,foto_grande_url,foto_cuadrada_url,person_id,opta_id,temporada
elche-c-f-84428,84428,elche-c-f,ELCHE CF,Elche CF,26,Defensa,defensa,Jugador,jugador,Matia Barzic,M. Baržić,Matia,Barzic,2004-05-31,,HR,190,82,false,true,false,false,https://assets.laliga.com/squad/2026/t954/default/512x556/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/1024x1113/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/512x512/default_t954_2026_0_002_000.jpg,37743,p593181,2026
elche-c-f-84440,84440,elche-c-f,ELCHE CF,Elche CF,5,Centrocampista,centrocampista,Jugador,jugador,Federico Redondo,Redondo,Federico,Redondo,2003-01-18,Madrid,AR,188,78,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p536884/512x556/p536884_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p536884/1024x1113/p536884_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p536884/512x512/p536884_t954_2026_0_002_000.jpg,40384,p536884,2026
elche-c-f-84448,84448,elche-c-f,ELCHE CF,Elche CF,7,Centrocampista,centrocampista,Jugador,jugador,Yago Santiago,Santiago,Yago,Santiago,2003-04-15,Vigo,ES,180,73,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p492779/512x556/p492779_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p492779/1024x1113/p492779_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p492779/512x512/p492779_t954_2026_0_002_000.jpg,31833,p492779,2026
elche-c-f-84441,84441,elche-c-f,ELCHE CF,Elche CF,8,Centrocampista,centrocampista,Jugador,jugador,Marc Aguado,M. Aguado,Marc,Aguado,2000-02-22,Zaragoza,ES,178,68,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p484741/512x556/p484741_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p484741/1024x1113/p484741_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p484741/512x512/p484741_t954_2026_0_002_000.jpg,12646,p484741,2026
elche-c-f-86428,86428,elche-c-f,ELCHE CF,Elche CF,10,Centrocampista,centrocampista,Jugador,jugador,Facundo Buonanotte,Buonanotte,Facundo,Buonanotte,2004-12-23,Pérez,AR,174,66,false,true,true,false,https://assets.laliga.com/squad/2026/t954/default/512x556/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/1024x1113/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/512x512/default_t954_2026_0_002_000.jpg,32019,p536916,2026
elche-c-f-84450,84450,elche-c-f,ELCHE CF,Elche CF,11,Centrocampista,centrocampista,Jugador,jugador,Germán Valera,Germán V.,Germán,Valera,2002-03-16,Murcia,ES,170,68,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p467020/512x556/p467020_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p467020/1024x1113/p467020_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p467020/512x512/p467020_t954_2026_0_002_000.jpg,14411,p467020,2026
elche-c-f-84439,84439,elche-c-f,ELCHE CF,Elche CF,12,Centrocampista,centrocampista,Jugador,jugador,Gonzalo Villar,G. Villar,Gonzalo,Villar,1998-03-23,Murcia,ES,181,73,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p450782/512x556/p450782_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p450782/1024x1113/p450782_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p450782/512x512/p450782_t954_2026_0_002_000.jpg,7608,p450782,2026
elche-c-f-84442,84442,elche-c-f,ELCHE CF,Elche CF,16,Centrocampista,centrocampista,Jugador,jugador,Martim Carvalho Neto,M. Neto,Martim,Carvalho Neto,2003-01-14,Viana do Castelo,PT,185,82,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p483083/512x556/p483083_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p483083/1024x1113/p483083_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p483083/512x512/p483083_t954_2026_0_002_000.jpg,41086,p483083,2026
elche-c-f-84443,84443,elche-c-f,ELCHE CF,Elche CF,17,Centrocampista,centrocampista,Jugador,jugador,José Antonio Ferrández Pomares,Josan,José Antonio,Ferrández Pomares,1989-12-03,Crevillente,ES,175,68,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p199195/512x556/p199195_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p199195/1024x1113/p199195_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p199195/512x512/p199195_t954_2026_0_002_000.jpg,1996,p199195,2026
elche-c-f-84452,84452,elche-c-f,ELCHE CF,Elche CF,19,Centrocampista,centrocampista,Jugador,jugador,Grady Diangana,Diang,Grady,Diangana,1998-04-19,Lubumbashi,CD,180,73,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p179830/512x556/p179830_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p179830/1024x1113/p179830_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p179830/512x512/p179830_t954_2026_0_002_000.jpg,17478,p179830,2026
